genome_region,gng_linkage_group,refseq_id,social_bias,social_bias_direction
recombining,lg1,LOC105198619,non-significant,Non-diff
recombining,lg1,LOC105198620,non-significant,Non-diff
recombining,lg1,LOC105198621,non-significant,Non-diff
recombining,lg1,LOC105198622,non-significant,Non-diff
recombining,lg1,LOC105198623,non-significant,Non-diff
recombining,lg1,LOC105198624,non-significant,Non-diff
recombining,lg1,LOC105198625,non-significant,Non-diff
recombining,lg1,LOC105198626,non-significant,Non-diff
recombining,lg1,LOC105198627,non-significant,Non-diff
recombining,lg1,LOC105198628,non-significant,Non-diff
recombining,lg1,LOC105198629,non-significant,Non-diff
recombining,lg1,LOC105198630,non-significant,Non-diff
recombining,lg1,LOC105198631,non-significant,Non-diff
recombining,lg1,LOC105198632,non-significant,Non-diff
recombining,lg1,LOC105198633,non-significant,Non-diff
recombining,lg1,LOC105198634,non-significant,Non-diff
recombining,lg1,LOC105198635,non-significant,Non-diff
recombining,lg1,LOC105198636,non-significant,Non-diff
recombining,lg1,LOC105198637,non-significant,Non-diff
recombining,lg1,LOC105198638,non-significant,Non-diff
recombining,lg1,LOC105198640,non-significant,Non-diff
recombining,lg1,LOC105198641,non-significant,Non-diff
recombining,lg1,LOC105198642,non-significant,Non-diff
recombining,lg1,LOC105198643,non-significant,Non-diff
recombining,lg1,LOC105198644,non-significant,Non-diff
recombining,lg1,LOC105198646,non-significant,Non-diff
recombining,lg1,LOC105198647,non-significant,Non-diff
recombining,lg1,LOC105198648,non-significant,Non-diff
recombining,lg1,LOC105198649,non-significant,Non-diff
recombining,lg1,LOC105198650,non-significant,Non-diff
recombining,lg1,LOC105198651,non-significant,Non-diff
recombining,lg1,LOC105198652,non-significant,Non-diff
recombining,lg1,LOC105198653,non-significant,Non-diff
recombining,lg1,LOC105198654,non-significant,Non-diff
recombining,lg1,LOC105198655,non-significant,Non-diff
recombining,lg1,LOC105198656,non-significant,Non-diff
recombining,lg1,LOC105198657,non-significant,Non-diff
recombining,lg1,LOC105198658,non-significant,Non-diff
recombining,lg1,LOC105198660,non-significant,Non-diff
recombining,lg1,LOC105198661,non-significant,Non-diff
recombining,lg1,LOC105198662,non-significant,Non-diff
recombining,lg1,LOC105198664,non-significant,Non-diff
recombining,lg1,LOC105198665,non-significant,Non-diff
recombining,lg1,LOC105198666,non-significant,Non-diff
recombining,lg1,LOC105198667,non-significant,Non-diff
recombining,lg1,LOC105198668,non-significant,Non-diff
recombining,lg1,LOC105198669,non-significant,Non-diff
recombining,lg1,LOC105198670,non-significant,Non-diff
recombining,lg1,LOC105198672,significant,Poly
recombining,lg1,LOC105198673,non-significant,Non-diff
recombining,lg1,LOC105198674,non-significant,Non-diff
recombining,lg1,LOC105198675,non-significant,Non-diff
recombining,lg1,LOC105198676,non-significant,Non-diff
recombining,lg1,LOC105198677,non-significant,Non-diff
recombining,lg1,LOC105198678,non-significant,Non-diff
recombining,lg1,LOC105198680,non-significant,Non-diff
