expression_group,Sb-SB_expression_category,median_expression,confidence_level,lower_median_ci,upper_median_ci
Mono,>1.5,54,0.351,0.95,0.133
Mono,0-0.5,51,0.444,0.95,0.211
Mono,0.5-0.75,66,0.869,0.95,0.571
Mono,0.75-1,198,1.32,0.95,1.13
Mono,1-1.5,228,1.06,0.95,0.863
Poly,>1.5,36,0.901,0.95,0.403
Poly,0-0.5,34,0.394,0.95,0.217
Poly,0.5-0.75,44,0.866,0.95,0.465
Poly,0.75-1,132,1.28,0.95,1.02
Poly,1-1.5,152,0.962,0.95,0.821
PolySb,>1.5,108,0.75,0.95,0.625
PolySb,0-0.5,102,0.125,0.95,0.125
PolySb,0.5-0.75,132,0.75,0.95,0.625
PolySb,0.75-1,396,1,0.95,0.875
PolySb,1-1.5,456,1.5,0.95,1.25
PolySB,>1.5,108,0.25,0.95,0.25
PolySB,0-0.5,102,0.75,0.95,0.562
PolySB,0.5-0.75,132,1.12,0.95,1
PolySB,0.75-1,396,1.12,0.95,1
PolySB,1-1.5,456,1.25,0.95,1.12
