gene,reads_b,sample,population,reads_B,total_reads,median_expression,lfc,missense_muts,stop_gain_id,stop_loss_id,all_nonsyn_muts
LOC105193112,16,Queen4,north_america,17,33,34,0.082462160191973,0,0,0,0
LOC105193112,18,Queen6,north_america,12,30,34,-0.547487795302493,0,0,0,0
LOC105193112,16,Queen5,north_america,14,30,34,-0.180572245641821,0,0,0,0
LOC105193112,65,SBSb-virgin-queens-1,taiwan,60,125,34,-0.113656781795567,0,0,0,0
LOC105193112,63,SBSb-virgin-queens-3,taiwan,58,121,34,-0.117356950638159,0,0,0,0
LOC105193112,15,Queen1,north_america,17,32,34,0.169925001442312,0,0,0,0
LOC105193112,11,Queen3,north_america,10,21,34,-0.125530882083859,0,0,0,0
LOC105193112,19,Queen2,north_america,16,35,34,-0.234465253637023,0,0,0,0
LOC105193112,86,SBSb-virgin-queens-2,taiwan,66,152,34,-0.376854305390956,0,0,0,0
LOC105193112,77,SBSb-virgin-queens-4,taiwan,67,144,34,-0.197939377611909,0,0,0,0
LOC105193113,38,Queen6,north_america,36,74,59.5,-0.0759488532332986,0,0,0,0
LOC105193113,25,SBSb-virgin-queens-3,taiwan,17,42,59.5,-0.53051471669878,0,0,0,0
LOC105193113,28,SBSb-virgin-queens-2,taiwan,31,59,59.5,0.142019004872428,0,0,0,0
LOC105193113,32,Queen5,north_america,28,60,59.5,-0.186413124230881,0,0,0,0
LOC105193113,28,SBSb-virgin-queens-4,taiwan,19,47,59.5,-0.53605290024021,0,0,0,0
LOC105193113,32,Queen4,north_america,32,64,59.5,0,0,0,0,0
LOC105193113,31,Queen1,north_america,34,65,59.5,0.129283016944966,0,0,0,0
LOC105193113,37,Queen2,north_america,31,68,59.5,-0.247927513443586,0,0,0,0
LOC105193113,28,SBSb-virgin-queens-1,taiwan,28,56,59.5,0,0,0,0,0
LOC105193113,28,Queen3,north_america,20,48,59.5,-0.465663572348812,0,0,0,0
LOC105193114,8,112W,south_america,7,15,17,-0.169925001442312,0,0,0,0
LOC105193114,7,43QA,south_america,7,14,17,0,0,0,0,0
LOC105193114,20,114CQA,south_america,7,27,17,-1.39231742277876,0,0,0,0
LOC105193114,3,114W,south_america,5,8,17,0.584962500721156,0,0,0,0
