# from https://en.wikipedia.org/wiki/List_of_ants_of_Great_Britain - unclear how reliable
Anergates atratulus
Camponotus sp.
Crematogaster scutellaris
Formica aquilonia
Formica cunicularia
Formica exsecta
Formica fusca
Formica lemani
Formica lugubris
Formica picea
Formica pratensis
Formica rufa
Formica rufibarbis
Formica sanguinea
Formicoxenus nitidulus
Hypoponera punctatissima
Hypoponera schauinslandi
Lasius alienus
Lasius brunneus
Lasius emarginatus
Lasius flavus
Lasius fuliginosus
Lasius meridionalis
Lasius mixtus
Lasius neglectus
Lasius niger
Lasius platythorax
Lasius psammophilus
Lasius sabularum
Lasius umbratus
Leptothorax acervorum
Linepithema humile
Monomorium pharaonis
Monomorium salomonis
Myrmecina graminicola
Myrmica hirsuta
Myrmica karavajevi
Myrmica lobicornis
Myrmica lonea
Myrmica rubra
Myrmica rubra
Myrmica ruginodis
Myrmica sabuleti
Myrmica scabrinodis
Myrmica schencki
Myrmica specioides
Myrmica sulcinodis
Myrmica vandeli
Paratrechina longicornis
Paratrechina vividula
Pheidole megacephala
Ponera coarctata
Ponera coarctata
Ponera testacea
Solenopsis fugax
Stenamma debile
Stenamma westwoodii
Strongylognathus testaceus
Tapinoma erraticum
Tapinoma madeirense
Tapinoma melanocephalum
Temnothorax albipennis
Temnothorax interruptus
Temnothorax nylanderi
Tetramorium caespitum
