day	month	year
ID1423:bellatorias obiri	18	Aug	2006
ID2533:caretta caretta	16	Jul	2000
ID342:cyclodomorphus praealtus	24	Dec	2009
ID8777:dermochelys coriacea	8	Jan	2009
ID922:egernia stokesii badia	16	Jul	2000
ID164545:elseya lavarackorum	16	Jul	2000
ID253:elusor macrurus	16	Jul	2000
ID26343:eulamprus leuraensis	16	Jul	2000
ID2543:eulamprus tympanum marnieae	16	Jul	2000
ID9483:lepidochelys olivacea	16	Jul	2000
ID8374:lerista allanae	16	Jul	2000
ID3884:liopholis guthega	23	Feb	2011
ID342:liopholis slateri slateri	4	Apr	2001
ID746:lucasium occultum	18	Aug	2006
ID3988:tiliqua adelaidensis	16	Jul	2000
ID24:tympanocryptis pinguicolla	16	Jul	2000
