 No	Score	          Identifier	No_Hits	LengthCluster	LengthRank	GeneMerge	Duplication	MissingExtraSequences
  5	   67	          PB18768-RA	      7	132 [124, 137]	43%	0.0	1.0	Not enough evidence
  1	   90	          GB10056-PA	     10	339 [317, 365]	40%	-3.5	1.0	95% conserved; 2% extra; 11% missing.
 10	    0	          PB26730-RA	      0	Not enough evidence	Not enough evidence	Not enough evidence	Not enough evidence	Not enough evidence
  9	   22	          GB10071-PA	     27	494 [379, 402]	0% (too long)	-7.0	0.0	79% conserved; 21% extra; 6% missing.
  2	   90	          GB10063-PA	    309	615 [105, 657]	42%	0.0	1.0	94% conserved; 5% extra; 6% missing.
  3	   90	          GB10113-PA	     18	659 [300, 506]	39%	-2.3	0.25	92% conserved; 18% extra; 8% missing.
  8	   45	          PB13758-RA	    167	751 [813, 1531]	3% (too short)	0.0	1.0	83% conserved; 0% extra; 27% missing.
  7	   45	          PB11933-RA	     50	845 [667, 885]	38%	1.1	1.0	84% conserved; 2% extra; 23% missing.
  6	   64	       SI2.2.0_02651	     34	660 [404, 1242]	18% (too short)	0.0	1.0	100% conserved; 2% extra; 20% missing.
  4	   90	       SI2.2.0_02565	     18	1761 [1603, 1677]	50%	-0.1	1.0	100% conserved; 0% extra; 6% missing.
